id,category,hook,uses
HOOK-060,shipping and unboxing hooks,What arrives before the thank-you text.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-061,wedding and event hooks,Cake for the table you planned.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-062,wedding and event hooks,The cut is quick. The layers are the proof.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-063,wedding and event hooks,A wedding cake that belongs in the room.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-064,wedding and event hooks,Save this piping detail for the event board.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-065,wedding and event hooks,What the bakery needs in the first event inquiry.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-066,wedding and event hooks,One cake question before the timeline is final.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-067,wedding and event hooks,"The dessert-table anchor, up close.","caption opener, on-screen text, spoken hook, or paid headline"
HOOK-068,wedding and event hooks,From full tier to plated slice.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-069,wedding and event hooks,A shower cake that does not need a theme costume.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-070,wedding and event hooks,The event detail everybody photographs twice.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-071,location and neighborhood hooks,The original yum! on Minnetonka Boulevard.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-072,location and neighborhood hooks,Your Shady Oak lunch stop.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-073,location and neighborhood hooks,yum! on Snelling in twelve seconds.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-074,location and neighborhood hooks,"East metro, this is your yum!.","caption opener, on-screen text, spoken hook, or paid headline"
HOOK-075,location and neighborhood hooks,Four Twin Cities kitchens. Pick yours.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-076,location and neighborhood hooks,The storefront before the pickup handoff.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-077,location and neighborhood hooks,Which yum! is on your route home?,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-078,location and neighborhood hooks,A neighborhood dinner stop with a bakery case.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-079,location and neighborhood hooks,The local order starts with one location choice.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-080,location and neighborhood hooks,What each yum! looks like from the front door.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-081,seasonal hooks,On the menu right now.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-082,seasonal hooks,"Photographed today, while it is here.","caption opener, on-screen text, spoken hook, or paid headline"
HOOK-083,seasonal hooks,The bakery drop with an expiration date.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-084,seasonal hooks,Check the deadline before you promise the gift.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-085,seasonal hooks,A season is a good reason to change the order.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-086,seasonal hooks,The current menu gets the final word.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-087,seasonal hooks,This post expires when the tray does.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-088,seasonal hooks,"Save the date, then confirm the cake.","caption opener, on-screen text, spoken hook, or paid headline"
HOOK-089,seasonal hooks,The seasonal close-up before the full plate.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-090,seasonal hooks,What changed in the case this week.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-091,UGC hooks,Come to yum! with me for lunch.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-092,UGC hooks,What I ordered on my first yum! visit.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-093,UGC hooks,Rate my bakery-case decision.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-094,UGC hooks,Watch me send a Patticake to someone who helped.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-095,UGC hooks,"The first slice reaction, no script.","caption opener, on-screen text, spoken hook, or paid headline"
HOOK-096,UGC hooks,What an office catering pickup actually looks like.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-097,UGC hooks,A birthday cake pickup from the driver's seat.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-098,UGC hooks,My Twin Cities lunch stop between errands.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-099,UGC hooks,Unbox a Patticake with me.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-100,UGC hooks,The staff recommendation I would order again.,"caption opener, on-screen text, spoken hook, or paid headline"
