id,category,caption,cta,best_channel,funnel_stage,suggested_visual
CAP-022,D. yum! gift cards,"Send lunch for later. A yum! gift card gives them the choice of breakfast, dinner, bakery, or the order they always get.",Buy a Gift Card,Instagram Feed,conversion,Gift card on white with real food around it.
CAP-023,D. yum! gift cards,"Teacher thank-you, solved: one yum! gift card and a note about the lunches they earned.",Buy a Gift Card,Facebook,conversion,Gift card and handwritten thank-you note.
CAP-024,D. yum! gift cards,A host gift that does not need shelf space. Send a yum! gift card before you head out the door.,Send a Gift Card,Instagram Stories,conversion,Phone purchase flow and arrival at a dinner table.
CAP-025,D. yum! gift cards,For the coworker who knows everybody's lunch order by memory.,Buy a Gift Card,LinkedIn,awareness,Gift card beside labeled lunch bags.
CAP-026,D. yum! gift cards,Last-minute does not have to look last-minute. Make it a yum! meal they can choose themselves.,Buy a Gift Card,Facebook,conversion,Digital gift card and current menu montage.
CAP-027,D. yum! gift cards,"Birthday today, dinner later. A yum! gift card keeps the celebration useful.",Send a Gift Card,Instagram Feed,conversion,"Birthday note, gift card, and takeout bag."
CAP-028,D. yum! gift cards,Already have a yum! gift card? Check the balance before the next bakery-case stop.,Check Balance,Google Business Profile,retention,Gift card and bakery case.
CAP-029,E. Patticake birthday,"A birthday cake that does not feel like a backup plan: real chocolate layers, vanilla buttercream, and a message made for the table.",Plan the Cake,Instagram Feed,conversion,"Full cake, message detail, and first slice."
CAP-030,E. Patticake birthday,The candles are quick. The first slice is the moment. Plan the Patticake around the part everyone waits for.,Start a Cake Order,Instagram Reel,consideration,Candle blowout into layered slice reveal.
CAP-031,E. Patticake birthday,"Birthday pickup, handled. Choose the local cake path, share the timing details, and let the bakery team follow up.",Pick Up Locally,Facebook,conversion,Boxed cake at a yum! counter.
CAP-032,E. Patticake birthday,For the person who always says they do not need anything: they still need cake.,Send a Patticake,Instagram Feed,awareness,Gift box arriving at a front door or office.
CAP-033,E. Patticake birthday,Office birthday on the calendar? Add the cake before somebody volunteers grocery-store cupcakes in the group chat.,Plan an Office Cake,LinkedIn,conversion,"Office table, candles, and Patticake slice."
CAP-034,E. Patticake birthday,The birthday message matters almost as much as the layers. Show us what should go on the cake request.,Start a Cake Request,Instagram Stories,engagement,Piping message close-up with question sticker.
CAP-035,E. Patticake birthday,A birthday in another state can still get a little yum! Patticake is available nationwide; confirm the exact date at checkout.,Ship Nationwide,Facebook,conversion,"Packing, date selection, and first slice."
CAP-036,F. Patticake thank-you and gifting,"Thank you, but make it cake. Add the note, choose the current delivery or pickup path, and give them something meant to be shared.",Send a Patticake,Instagram Feed,conversion,"Gift box, note, and cake slices."
CAP-037,F. Patticake thank-you and gifting,"For the neighbor who brought dinner, the friend who showed up, or the host who made room. Send the thank-you people can slice.",Send a Thank-You Cake,Facebook,consideration,Three recipient scenarios with one gift box.
CAP-038,F. Patticake thank-you and gifting,"A client thank-you should feel personal before they read the note. Start with the Patticake box, then make the message yours.",Ask About Gifting,LinkedIn,conversion,"Multiple boxes, note cards, and desk delivery."
CAP-039,F. Patticake thank-you and gifting,"The best just-because gifts have an actual reason: I miss you, you helped, you did it, or I knew you would share.",Send a Cake,Instagram Reel,awareness,Four handwritten note options and slice reveal.
CAP-040,F. Patticake thank-you and gifting,"Teacher thank-you in layers: chocolate cake, vanilla buttercream, and a note that says exactly why.",Plan the Gift,Pinterest,consideration,Vertical gift box and note composition.
CAP-041,F. Patticake thank-you and gifting,Send the former Minnesotan a reason to call home after dessert.,Send a Patticake,Instagram Feed,awareness,"Gift box, Twin Cities note, and slice."
CAP-042,F. Patticake thank-you and gifting,"When flowers feel expected, send the cake people will put in the middle of the table.",Check Gift Options,Pinterest,consideration,Patticake centered on a real table with hands.
CAP-043,G. Patticake shipping,"Pack a Patticake with us: cake secured, message checked, box finished, and nationwide shipping confirmed at checkout.",Ship Nationwide,TikTok,consideration,"Real packing sequence, no staged shipping label data."
CAP-044,G. Patticake shipping,A delivery date is part of the gift. Check the current calendar before you promise the cake at the party.,View the Delivery Calendar,Instagram Stories,conversion,"Date picker, packed box, and reminder frame."
CAP-045,G. Patticake shipping,From yum! bakery layers to the first slice at their table. Here is the trip a Patticake is built to make.,Send a Patticake,YouTube Shorts,consideration,"Bake, frost, pack, transit handoff, unbox."
CAP-046,G. Patticake shipping,Unbox first. Read the note second. Cut the cake immediately after.,Start an Order,Instagram Reel,awareness,Recipient unboxing with consent and clean label framing.
CAP-047,G. Patticake shipping,"Sending cake to more than one address? Start a corporate gifting note so timing, quantities, and recipient details can be reviewed.",Ask About Multiple Gifts,LinkedIn,conversion,"Address list blurred, multiple boxes, inquiry form."
CAP-048,G. Patticake shipping,"Before you post the tracking screenshot, post the layers. That is what they are waiting for.",Send a Cake,TikTok,awareness,Tracking notification into cake slice close-up.
CAP-049,G. Patticake shipping,Shipping availability can change. The Patticake order page is the source of truth for current dates and delivery options.,Check Current Options,Facebook,conversion,Current website page beside packed cake.
CAP-050,H. Patticake local pickup,"Cake pickup should be the easy part of the birthday. Start the local request, share the date and location, and wait for the bakery follow-up.",Pick Up Locally,Instagram Feed,conversion,Boxed cake and counter handoff.
CAP-051,H. Patticake local pickup,"Four Twin Cities kitchens, one cake plan. Choose the pickup path that works for the table you are setting.",Start a Local Cake Request,Facebook,conversion,Four location exteriors and one Patticake.
CAP-052,H. Patticake local pickup,The drive home with a cake in the passenger seat deserves its own careful soundtrack.,Plan Pickup,TikTok,awareness,"Box placement, seatbelt-safe shot, arrival."
CAP-053,H. Patticake local pickup,Office birthday nearby? Pick up the Patticake on the way in and let the first meeting be the cake meeting.,Start a Cake Request,LinkedIn,conversion,Pickup counter to office table.
CAP-054,H. Patticake local pickup,Choose the message before pickup. It is easier than deciding what to write while the candles are already lit.,Add Your Cake Details,Instagram Stories,consideration,Message form and piping detail.
CAP-055,H. Patticake local pickup,"Local cake, real bakery team, and a pickup plan built around the occasion details you share.",Pick Up Locally,Instagram Feed,consideration,"Bakery hands, box, and location cue."
CAP-056,H. Patticake local pickup,"Need help before you request the cake? Use the cake inquiry and share the date, location, occasion, and what you need the team to know.",Start an Inquiry,Facebook,conversion,Cake inquiry form and tiered cake detail.
CAP-057,I. Patticake corporate gifting,"The client thank-you that gets opened first: a real cake, a clear note, and a gifting plan built around the recipient list.",Ask About Corporate Gifting,LinkedIn,conversion,Multiple gift boxes and note cards.
CAP-058,I. Patticake corporate gifting,"Team milestone, partner thank-you, or year-end gift. Start with who it is for, how many recipients, and when it needs to arrive.",Start a Gifting Note,LinkedIn,conversion,Planner checklist and stacked Patticake boxes.
CAP-059,I. Patticake corporate gifting,A corporate gift can still feel like it came from a person. The message is not a footnote.,Plan the Gift,Instagram Feed,consideration,"Handwriting, card insertion, and package close."
CAP-060,I. Patticake corporate gifting,"Before you upload the address list, settle the occasion, quantity, and timing with the bakery team.",Ask About Gifting,Facebook,consideration,"Blurred spreadsheet, inquiry form, and boxes."
CAP-061,I. Patticake corporate gifting,"Send the team cake after the launch, not another branded water bottle before it.",Start a Corporate Gift Inquiry,LinkedIn,awareness,Team table and shared slices.
CAP-062,I. Patticake corporate gifting,"One recipient or a list of them, the current Patticake inquiry is where quantity, timing, and delivery questions belong.",Start an Inquiry,Facebook,conversion,Inquiry page and multiple boxes.
CAP-063,I. Patticake corporate gifting,Client gifts work harder when the product looks as thoughtful as the note sounds.,Plan Corporate Gifting,Pinterest,consideration,Premium real package detail without luxury styling.
CAP-064,J. Patticake wedding and event,"Cake for the table you planned. Start the inquiry with the date, occasion, guest context, and the details you want the bakery team to see.",Start an Event Inquiry,Pinterest,conversion,Tiered cake in a real event setting.
CAP-065,J. Patticake wedding and event,"A wedding cake does not need to shout over the flowers, plates, and people around it. It needs to belong on the table.",Plan the Cake,Instagram Feed,consideration,"Cake, floral detail, and place setting."
CAP-066,J. Patticake wedding and event,The cut is one moment. The layers are the proof everybody takes back to the table.,Start a Cake Inquiry,Instagram Reel,awareness,Cake cut and plated slices.
CAP-067,J. Patticake wedding and event,"Shower, rehearsal, wedding, or anniversary: share the event details first so the bakery team can route the right next step.",Start an Inquiry,Facebook,conversion,Four occasion details and inquiry CTA.
CAP-068,J. Patticake wedding and event,"Save this cake detail for the event board, then send the date when you are ready to ask what is possible.",Save and Inquire,Pinterest,consideration,Vertical piping and tier detail.
CAP-069,J. Patticake wedding and event,A dessert table can start with one cake question: what do you want people to remember after the first slice?,Plan the Event Cake,Instagram Feed,engagement,Dessert table and guest hands.
CAP-070,J. Patticake wedding and event,Event availability and customization need bakery confirmation. Use the inquiry form before putting the cake on the printed timeline.,Start an Inquiry,Pinterest,conversion,"Planner, timeline, and cake detail."
CAP-071,K. seasonal,On the menu right now: {VERIFIED_ITEM}. Check the live menu before you choose the pickup kitchen.,See the Current Menu,Instagram Feed,conversion,Verified current item and date label.
CAP-072,K. seasonal,"The bakery drop is real, the quantity is not a promise. This is what we photographed at {LOCATION} on {DATE}.",Find a Location,Instagram Stories,conversion,Same-day product and timestamp.
CAP-073,K. seasonal,A season is a good reason to change the lunch order. Start with what is currently on the yum! menu.,Explore the Menu,Facebook,consideration,Three verified seasonal food details.
CAP-074,K. seasonal,Holiday cake timing belongs on the calendar before the guest list is final. Confirm the current order deadline at the destination page.,Check Current Deadlines,Instagram Stories,conversion,"Calendar, Patticake, and confirmation badge."
CAP-075,K. seasonal,"A limited bakery item needs a publish-by date, a location check, and no caption that outlives the tray.",Check Availability,Google Business Profile,conversion,Current bakery item with location and date.
CAP-076,K. seasonal,Bring the seasonal part of dinner home. Check the current yum! menu and order from the kitchen nearest you.,Order Online,Facebook,conversion,Seasonal entree and pickup bag.
CAP-077,K. seasonal,Gifting deadline coming up? Use {CONFIRMED_DEADLINE} only after the bakery owner approves it for this campaign.,Check Gift Options,Instagram Feed,conversion,Gift box with approved deadline card.
CAP-078,L. short paid-ad,Lunch is one location choice away.,Order Now,Meta Feed,conversion,"Meal, location selector, pickup handoff."
CAP-079,L. short paid-ad,Feed the room. Start the catering note.,Get Quote,Meta Reels,conversion,Catering spread and inquiry screen.
CAP-080,L. short paid-ad,"Send cake, not a card.",Shop Now,Meta Reels,conversion,"Gift box, note, and first slice."
CAP-081,L. short paid-ad,"Birthday pickup, handled.",Learn More,Meta Stories,conversion,Boxed Patticake at a local counter.
CAP-082,L. short paid-ad,Client thank-yous people can slice.,Contact Us,LinkedIn Paid,conversion,Multiple boxes and note workflow.
CAP-083,L. short paid-ad,Four Twin Cities kitchens. Pick yours.,Order Now,Meta Feed,conversion,Four storefronts and current food.
CAP-084,L. short paid-ad,The bakery tray belongs in the meeting plan.,Get Quote,Meta Feed,conversion,Meeting table and bakery tray.
